family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-03-1,288,576,PI_DIST,1,42,96,96,4,3.00,94,960,576,2304,0,8,6,42,326.1,336,336,,0,336,0,28,,,10000,1,,0,0,288,,,CERTIFIED,164,326.1,,,,PI,false,AUTO,288,GLOBAL,2304,,CRYPTOMINISAT_XOR,45
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-03-2,288,576,PI_DIST,1,42,96,96,4,3.00,97,960,576,2304,0,8,6,46,326.1,336,336,,0,336,0,40,,,10000,1,,0,0,288,,,CERTIFIED,183,326.1,,,,PI,false,AUTO,288,GLOBAL,2304,,CRYPTOMINISAT_XOR,45
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-04-1,288,576,PI_DIST,1,42,96,96,4,3.00,80,960,576,2304,0,8,6,44,326.1,336,336,,0,336,0,28,,,10000,1,,0,0,288,,,CERTIFIED,152,326.1,,,,PI,false,AUTO,288,GLOBAL,2304,,CRYPTOMINISAT_XOR,43
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-04-2,288,576,PI_DIST,1,42,96,96,4,3.00,62,960,576,2304,0,8,6,40,326.6,336,336,,0,336,0,28,,,10000,1,,0,0,288,,,CERTIFIED,130,326.6,,,,PI,false,AUTO,288,GLOBAL,2304,,CRYPTOMINISAT_XOR,43
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-01-1,360,720,PI_DIST,1,42,120,120,4,3.00,70,1200,720,2880,0,8,6,55,329.4,420,420,,0,420,0,36,,,10000,1,,0,0,360,,,CERTIFIED,161,329.4,,,,PI,false,AUTO,360,GLOBAL,2880,,CRYPTOMINISAT_XOR,55
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-01-2,360,720,PI_DIST,1,42,120,120,4,3.00,79,1200,720,2880,0,8,6,56,329.4,420,420,,0,420,0,35,,,10000,1,,0,0,360,,,CERTIFIED,170,329.4,,,,PI,false,AUTO,360,GLOBAL,2880,,CRYPTOMINISAT_XOR,55
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-02-1,360,720,PI_DIST,1,42,120,120,4,3.00,64,1200,720,2880,0,8,6,55,329.8,420,420,,0,420,0,42,,,10000,1,,0,0,360,,,CERTIFIED,161,329.8,,,,PI,false,AUTO,360,GLOBAL,2880,,CRYPTOMINISAT_XOR,55
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-02-2,360,720,PI_DIST,1,42,120,120,4,3.00,74,1200,720,2880,0,8,6,55,329.8,420,420,,0,420,0,36,,,10000,1,,0,0,360,,,CERTIFIED,165,329.8,,,,PI,false,AUTO,360,GLOBAL,2880,,CRYPTOMINISAT_XOR,55
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-03-1,360,720,PI_DIST,1,42,120,120,4,3.00,76,1200,720,2880,0,8,6,56,330.5,420,420,,0,420,0,35,,,10000,1,,0,0,360,,,CERTIFIED,167,330.5,,,,PI,false,AUTO,360,GLOBAL,2880,,CRYPTOMINISAT_XOR,56
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-03-2,360,720,PI_DIST,1,42,120,120,4,3.00,69,1200,720,2880,0,8,6,56,330.5,420,420,,0,420,0,36,,,10000,1,,0,0,360,,,CERTIFIED,161,330.5,,,,PI,false,AUTO,360,GLOBAL,2880,,CRYPTOMINISAT_XOR,56
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-04-1,360,720,PI_DIST,1,42,120,120,4,3.00,64,1200,720,2880,0,8,6,55,330.5,420,420,,0,420,0,34,,,10000,1,,0,0,360,,,CERTIFIED,153,330.5,,,,PI,false,AUTO,360,GLOBAL,2880,,CRYPTOMINISAT_XOR,59
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-04-2,360,720,PI_DIST,1,42,120,120,4,3.00,61,1200,720,2880,0,8,6,57,330.7,420,420,,0,420,0,34,,,10000,1,,0,0,360,,,CERTIFIED,152,330.7,,,,PI,false,AUTO,360,GLOBAL,2880,,CRYPTOMINISAT_XOR,59
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-01-1,432,864,PI_DIST,1,42,144,144,4,3.00,89,1440,864,3456,0,8,6,69,330.8,504,504,,0,504,0,42,,,10000,1,,0,0,432,,,CERTIFIED,200,330.8,,,,PI,false,AUTO,432,GLOBAL,3456,,CRYPTOMINISAT_XOR,70
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-01-2,432,864,PI_DIST,1,42,144,144,4,3.00,86,1440,864,3456,0,8,6,63,330.8,504,504,,0,504,0,42,,,10000,1,,0,0,432,,,CERTIFIED,191,330.8,,,,PI,false,AUTO,432,GLOBAL,3456,,CRYPTOMINISAT_XOR,70
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-02-1,432,864,PI_DIST,1,42,144,144,4,3.00,87,1440,864,3456,0,8,6,58,330.8,504,504,,0,504,0,42,,,10000,1,,0,0,432,,,CERTIFIED,187,330.8,,,,PI,false,AUTO,432,GLOBAL,3456,,CRYPTOMINISAT_XOR,67
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-02-2,432,864,PI_DIST,1,42,144,144,4,3.00,81,1440,864,3456,0,8,6,63,334.3,504,504,,0,504,0,43,,,10000,1,,0,0,432,,,CERTIFIED,187,334.3,,,,PI,false,AUTO,432,GLOBAL,3456,,CRYPTOMINISAT_XOR,67
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-03-1,432,864,PI_DIST,1,42,144,144,4,3.00,83,1440,864,3456,0,8,6,60,334.3,504,504,,0,504,0,42,,,10000,1,,0,0,432,,,CERTIFIED,185,334.3,,,,PI,false,AUTO,432,GLOBAL,3456,,CRYPTOMINISAT_XOR,67
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-03-2,432,864,PI_DIST,1,42,144,144,4,3.00,81,1440,864,3456,0,8,6,61,334.3,504,504,,0,504,0,43,,,10000,1,,0,0,432,,,CERTIFIED,185,334.3,,,,PI,false,AUTO,432,GLOBAL,3456,,CRYPTOMINISAT_XOR,67
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-04-1,432,864,PI_DIST,1,42,144,144,4,3.00,82,1440,864,3456,0,8,6,63,334.3,504,504,,0,504,0,42,,,10000,1,,0,0,432,,,CERTIFIED,187,334.3,,,,PI,false,AUTO,432,GLOBAL,3456,,CRYPTOMINISAT_XOR,70
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-04-2,432,864,PI_DIST,1,42,144,144,4,3.00,86,1440,864,3456,0,8,6,63,334.3,504,504,,0,504,0,40,,,10000,1,,0,0,432,,,CERTIFIED,189,334.3,,,,PI,false,AUTO,432,GLOBAL,3456,,CRYPTOMINISAT_XOR,70
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-01-1,504,1008,PI_DIST,1,42,168,168,4,3.00,114,1680,1008,4032,0,8,6,74,334.3,588,588,,0,588,0,47,,,10000,1,,0,0,504,,,CERTIFIED,235,334.3,,,,PI,false,AUTO,504,GLOBAL,4032,,CRYPTOMINISAT_XOR,82
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-01-2,504,1008,PI_DIST,1,42,168,168,4,3.00,113,1680,1008,4032,0,8,6,72,334.3,588,588,,0,588,0,47,,,10000,1,,0,0,504,,,CERTIFIED,232,334.3,,,,PI,false,AUTO,504,GLOBAL,4032,,CRYPTOMINISAT_XOR,82
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-02-1,504,1008,PI_DIST,1,42,168,168,4,3.00,110,1680,1008,4032,0,8,6,72,334.3,588,588,,0,588,0,52,,,10000,1,,0,0,504,,,CERTIFIED,234,334.3,,,,PI,false,AUTO,504,GLOBAL,4032,,CRYPTOMINISAT_XOR,77
