family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-01-1,648,1296,648,648,675,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-01-2,648,1296,648,648,679,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-02-1,648,1296,648,648,1026,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-02-2,648,1296,648,648,1012,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-04-1,648,1296,648,641,74,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-04-2,648,1296,648,641,71,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-03-1,648,1296,648,,3600115,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-03-2,648,1296,648,,3600122,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0720-01-1,720,1440,720,720,724,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0720-01-2,720,1440,720,720,735,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0720-02-1,720,1440,720,720,181768,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0720-02-2,720,1440,720,720,180296,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0720-03-1,720,1440,720,720,11154,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0720-03-2,720,1440,720,720,10986,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0720-04-1,720,1440,720,,3600112,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0720-04-2,720,1440,720,,3600119,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0792-01-1,792,1584,792,792,602,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0792-01-2,792,1584,792,792,602,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0792-02-1,792,1584,792,792,184205,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0792-02-2,792,1584,792,792,183833,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0792-03-1,792,1584,792,,3600115,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0792-03-2,792,1584,792,,3600121,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0792-04-1,792,1584,792,792,2745,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0792-04-2,792,1584,792,792,2146,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0864-01-1,864,1728,864,864,3183,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0864-01-2,864,1728,864,864,3084,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0864-02-1,864,1728,864,,3600052,true,TIMEOUT,traces,4096,3600,false
